word,pos,rules
अच्छा,ADJ,
अच्छिन्न,,
अच्छेद्य,,
अच्छेरिपी,,"15,22"
अच्युत,,"15,22"
अछापे,,
अछाम,NN,26
अछुत,,"18,22,15"
अछुतो,,"15,22"
अछेता,NN,"18,22,15"
अज,,
अजङ,ADJ,"15,22"
अजत,,"15,22"
अजनबी,,
अजन्मा,,
अजब,ADJ,
अजम्मर,ADJ,
अजम्मरी,,"15,22"
अजम्मरे,,
अजय,,
अजर,NN,
अजस्र,,
अजात,,"15,22"
अजाति,,
अजान,,
अजायब,,
अजिङ्गर,NN,"18,22,15"
अजित,,
अजिब,ADJ,
अजिमा,NP,"15,22"
अजिर,,"15,22"
अजीर्ण,ADJ,"15,22"
अजीव,NN,
अजुर,,
अजेय,,
अजोग्गे,,
अजोड,,
अजोडी,,
अजोर,,
अजोरी,,
अज्ञ,,32
अज्ञात,,
अज्ञानता,,
अज्ञानी,,
अज्ञेय,,
अझ,ADJ,
अझै,,
अञ्चल,NN,"18,22,15"
अञ्चलव्यापी,,
अञ्चलस्तरीय,,
अञ्चलाधीश,,"18,22,15"
अञ्जली,NN,"18,22,15"
अञ्जुली,NN,"18,22,15"
अटमट्ट,,
अटल,ADJ,
अटाई-नअटाई,,
अटाली,NN,"18,22,15"
अटुट,ADJ,
अटेर,,"15,22"
अटेरी,,
अटेरीपन,,"15,22"
अटेरीपारा,,"15,22"
अटेसमटेस,,
अटोमेटिक,,
अट्,VF,"1,41"
अट्टहास,ADJ,"15,22"
अट्टान,,
अट्टालिका,NN,"15,22"
अट्ठा,NN,"15,22"
अट्ठाइस,NUMC,
अट्ठाइसौँ,,
अठचालिस,NUMC,
अठचालिसौँ,,
अठचालीस,,"15,22"
अठतीस,NUMC,"15,22"
अठतीसौँ,,
अठन्नी,NN,"18,22,15"
अठबा,,
अठसट्ठी,NUMC,"15,22"
अठसट्ठीऔँ,,
अठहत्तर,NUMC,"15,22"
अठार,NUMC,"15,22"
अठारभाइ,,"18,22,15"
अठारौँ,,
अठासी,NUMC,"15,22"
अठासीऔँ,,
अठिया,ADJ,"15,22"
अठोट,,"15,22"
अठोट्,VF,"1,41"
अठोत्तरसय,,
अडकल,NN,"15,22"
अडकलपच्चु,,
अडकलबाज,,
अडग,,
अडबाङ्गे,,
अडबाङ्गो,,14
अडबेखडबे,,
अडभङ्गे,,
अडभङ्ग्याहा,,
अडाइ,NUMC,"15,22"
अडाउ,VF,
अडान,NN,"15,22"
अडाहा,,
अडिग,ADJ,
अडिटोरीयम,NN,"18,22,15"
अडियल,,
अडियो,ADJ,"18,22,15"
अडिलो,ADJ,14
अडेस,NN,"15,22"
अडेसदार,,
अडेसि,VF,"8,43"
अडैया,ADJ,
अड्,VF,"1,41"
अड्क,VF,"8,45"
अड्कल,,"15,22"
अड्कल्,VF,"1,41"
अड्कि,VF,"8,43"
अड्को,NN,"15,22"
अड्चन,NN,"18,22,15"
अड्डी,NN,"15,22"
अड्‍डा,NN,"18,22,15"
अढाइ,,"15,22"
अढाई,NUMC,
अणु,NN,"15,22"
अणुबम,NN,"18,22,15"
अण्ड,NN,"18,22,15"
अण्डा,NN,"18,22,15"
अण्डाशय,,"18,22,15"
अण्डे,,
अत:,,
अतथ्य,,
अतन्द्रित,,
अतर्कनीय,,
अतर्कित,,
अतर्क्य,,
अतल,,
अताराङ्कित,,
अति,ADJ,
अतिकण्ठ्य,,
अतिक्रमण,NN,"15,22"
अतिगोप्य,,
अतिचारी,ADJ,
अतितृप्ति,,"15,22"
अतिथि,NN,"18,22,15"
अतिथिघर,,"18,22,15"
अतिथिशाला,,"18,22,15"
अतिदेय,,
अतिरञ्जक,,
अतिरञ्जन,,"15,22"
अतिरञ्जित,,
अतिरथी,,"18,22,15"
अतिवाद,,"15,22"
अतिवादी,,
अतिशय,,
अतिशयमध्यपान,,"15,22"
अतिशयोक्ति,,"18,22,15"
